site_id,timestamp,level_m,flow_lps,pressure_bar,pump_status,source_system
PS001,2026-01-01 07:30:00,1.32,33.39,3.09,AUTO,synthetic_scada
PS001,2026-01-01 07:45:00,1.36,35.91,2.48,AUTO,synthetic_scada
PS001,2026-01-01 08:00:00,1.76,32.76,2.86,AUTO,synthetic_scada
PS001,2026-01-01 08:15:00,1.43,39.32,2.49,AUTO,synthetic_scada
PS001,2026-01-01 08:30:00,1.37,25.26,2.45,AUTO,synthetic_scada
PS001,2026-01-01 08:45:00,1.62,34.08,2.92,AUTO,synthetic_scada
PS001,2026-01-01 09:00:00,1.38,45.05,2.64,AUTO,synthetic_scada
PS001,2026-01-01 09:15:00,1.21,34.71,2.82,AUTO,synthetic_scada
PS001,2026-01-01 09:30:00,1.46,40.87,2.64,AUTO,synthetic_scada
PS001,2026-01-01 09:45:00,1.47,28.07,2.71,AUTO,synthetic_scada
PS001,2026-01-01 10:00:00,1.35,33.27,2.54,AUTO,synthetic_scada
PS001,2026-01-01 10:15:00,1.17,22.77,2.55,AUTO,synthetic_scada
PS001,2026-01-01 10:30:00,1.43,18.7,2.88,AUTO,synthetic_scada
PS001,2026-01-01 10:45:00,1.68,24.73,2.28,AUTO,synthetic_scada
PS001,2026-01-01 11:00:00,1.34,33.02,2.9,AUTO,synthetic_scada
PS001,2026-01-01 11:15:00,1.22,31.09,2.68,AUTO,synthetic_scada
PS001,2026-01-01 11:30:00,1.27,41.15,2.9,AUTO,synthetic_scada
PS001,2026-01-01 11:45:00,1.51,28.66,2.57,AUTO,synthetic_scada
PS001,2026-01-01 12:00:00,1.55,29.2,2.18,AUTO,synthetic_scada
PS001,2026-01-01 12:15:00,1.48,26.35,2.28,AUTO,synthetic_scada
PS001,2026-01-01 12:30:00,1.36,33.68,2.66,AUTO,synthetic_scada
PS001,2026-01-01 12:45:00,1.54,30.28,3.04,AUTO,synthetic_scada
PS001,2026-01-01 13:00:00,1.46,23.86,3.01,AUTO,synthetic_scada
PS001,2026-01-01 13:15:00,1.54,25.72,2.5,AUTO,synthetic_scada
PS001,2026-01-01 13:30:00,1.26,23.96,3.09,AUTO,synthetic_scada
PS001,2026-01-01 13:45:00,1.32,37.65,2.21,AUTO,synthetic_scada
PS001,2026-01-01 14:00:00,1.66,27.89,2.44,AUTO,synthetic_scada
PS001,2026-01-01 14:15:00,1.42,33.02,2.68,AUTO,synthetic_scada
PS001,2026-01-01 14:30:00,1.42,27.98,2.87,AUTO,synthetic_scada
PS001,2026-01-01 14:45:00,1.48,39.31,3.03,AUTO,synthetic_scada
PS001,2026-01-01 15:00:00,1.51,25.53,2.45,AUTO,synthetic_scada
PS001,2026-01-01 15:15:00,1.67,24.79,2.99,AUTO,synthetic_scada
PS001,2026-01-01 15:30:00,1.56,33.78,2.61,AUTO,synthetic_scada
PS001,2026-01-01 15:45:00,1.3,33.59,2.12,AUTO,synthetic_scada
PS001,2026-01-01 16:00:00,1.19,26.63,2.72,AUTO,synthetic_scada
PS001,2026-01-01 16:15:00,1.51,31.91,2.58,AUTO,synthetic_scada
PS001,2026-01-01 16:30:00,1.43,36.75,2.69,AUTO,synthetic_scada
PS001,2026-01-01 16:45:00,1.05,41.07,2.47,AUTO,synthetic_scada
PS001,2026-01-01 17:00:00,1.45,39.44,2.41,AUTO,synthetic_scada
PS001,2026-01-01 17:15:00,1.4,27.7,2.71,AUTO,synthetic_scada
PS001,2026-01-01 17:30:00,1.25,29.45,3.0,AUTO,synthetic_scada
PS001,2026-01-01 17:45:00,1.8,37.85,2.52,AUTO,synthetic_scada
PS001,2026-01-01 18:00:00,1.62,25.69,3.31,AUTO,synthetic_scada
PS001,2026-01-01 18:15:00,1.55,36.32,2.47,AUTO,synthetic_scada
PS001,2026-01-01 18:30:00,1.27,24.11,2.72,AUTO,synthetic_scada
PS001,2026-01-01 18:45:00,1.19,29.51,2.3,AUTO,synthetic_scada
PS001,2026-01-01 19:00:00,1.38,10.4,2.62,AUTO,synthetic_scada
PS001,2026-01-01 19:15:00,1.19,30.58,2.62,AUTO,synthetic_scada
PS001,2026-01-01 19:30:00,1.22,31.13,2.63,AUTO,synthetic_scada
PS001,2026-01-01 19:45:00,1.49,35.13,2.72,AUTO,synthetic_scada
PS001,2026-01-01 20:00:00,1.28,24.84,2.49,AUTO,synthetic_scada
PS001,2026-01-01 20:15:00,1.22,30.58,2.78,AUTO,synthetic_scada
PS001,2026-01-01 20:30:00,1.38,31.21,2.4,AUTO,synthetic_scada
PS001,2026-01-01 20:45:00,1.23,31.77,2.44,AUTO,synthetic_scada
PS001,2026-01-01 21:00:00,1.47,32.02,2.66,AUTO,synthetic_scada
PS001,2026-01-01 21:15:00,1.44,34.65,2.3,AUTO,synthetic_scada
PS001,2026-01-01 21:30:00,1.66,23.34,2.86,AUTO,synthetic_scada
PS001,2026-01-01 21:45:00,1.67,20.04,2.69,AUTO,synthetic_scada
PS001,2026-01-01 22:00:00,1.56,33.62,1.89,AUTO,synthetic_scada
PS001,2026-01-01 22:15:00,1.3,33.07,2.52,AUTO,synthetic_scada
PS001,2026-01-01 22:30:00,1.08,31.9,3.02,AUTO,synthetic_scada
PS001,2026-01-01 22:45:00,1.44,32.01,2.87,AUTO,synthetic_scada
PS001,2026-01-01 23:00:00,1.62,34.93,2.11,AUTO,synthetic_scada
PS001,2026-01-01 23:15:00,1.29,28.53,2.75,AUTO,synthetic_scada
PS001,2026-01-01 23:30:00,1.38,36.21,2.71,AUTO,synthetic_scada
PS001,2026-01-01 23:45:00,1.55,33.66,2.5,AUTO,synthetic_scada
PS002,2026-01-01 00:00:00,1.4,37.96,3.02,AUTO,synthetic_scada
PS002,2026-01-01 00:15:00,1.21,36.72,1.81,AUTO,synthetic_scada
PS002,2026-01-01 00:30:00,1.37,40.88,2.48,AUTO,synthetic_scada
PS002,2026-01-01 00:45:00,1.39,31.96,3.08,AUTO,synthetic_scada
PS002,2026-01-01 01:00:00,1.43,32.91,1.73,AUTO,synthetic_scada
PS002,2026-01-01 01:15:00,1.1,31.6,2.05,AUTO,synthetic_scada
PS002,2026-01-01 01:30:00,1.24,34.86,2.64,AUTO,synthetic_scada
PS002,2026-01-01 01:45:00,1.34,36.45,2.67,AUTO,synthetic_scada
PS002,2026-01-01 02:00:00,1.48,33.22,2.66,AUTO,synthetic_scada
PS002,2026-01-01 02:15:00,1.5,46.03,1.52,AUTO,synthetic_scada
PS002,2026-01-01 02:30:00,1.81,33.11,2.51,AUTO,synthetic_scada
PS002,2026-01-01 02:45:00,1.67,30.42,2.6,AUTO,synthetic_scada
PS002,2026-01-01 03:00:00,2.11,28.8,2.79,ON,synthetic_scada
PS002,2026-01-01 03:15:00,2.5,30.06,2.27,ON,synthetic_scada
PS002,2026-01-01 03:30:00,2.5,35.04,2.82,ON,synthetic_scada
PS002,2026-01-01 03:45:00,1.39,21.05,2.57,AUTO,synthetic_scada
PS002,2026-01-01 04:00:00,1.42,24.4,2.8,AUTO,synthetic_scada
PS002,2026-01-01 04:15:00,1.49,45.51,3.1,AUTO,synthetic_scada
PS002,2026-01-01 04:30:00,1.67,22.35,2.96,AUTO,synthetic_scada
PS002,2026-01-01 04:45:00,1.29,20.38,2.32,AUTO,synthetic_scada
PS002,2026-01-01 05:00:00,1.7,30.95,2.31,AUTO,synthetic_scada
PS002,2026-01-01 05:15:00,1.45,33.86,2.16,AUTO,synthetic_scada
PS002,2026-01-01 05:30:00,1.31,21.47,2.79,AUTO,synthetic_scada
PS002,2026-01-01 05:45:00,1.35,34.0,2.16,AUTO,synthetic_scada
PS002,2026-01-01 06:00:00,1.33,42.35,2.54,AUTO,synthetic_scada
PS002,2026-01-01 06:15:00,1.4,36.26,2.67,AUTO,synthetic_scada
PS002,2026-01-01 06:30:00,1.42,29.28,2.29,AUTO,synthetic_scada
PS002,2026-01-01 06:45:00,1.24,17.17,2.53,AUTO,synthetic_scada
PS002,2026-01-01 07:00:00,1.51,25.57,2.81,AUTO,synthetic_scada
PS002,2026-01-01 07:15:00,1.54,21.8,2.67,AUTO,synthetic_scada
PS002,2026-01-01 07:30:00,1.26,33.31,2.41,AUTO,synthetic_scada
PS002,2026-01-01 07:45:00,1.47,37.12,2.87,AUTO,synthetic_scada
PS002,2026-01-01 08:00:00,1.38,27.87,2.27,AUTO,synthetic_scada
PS002,2026-01-01 08:15:00,1.54,31.02,3.16,AUTO,synthetic_scada
PS002,2026-01-01 08:30:00,1.45,32.23,2.52,AUTO,synthetic_scada
PS002,2026-01-01 08:45:00,1.31,29.6,2.77,AUTO,synthetic_scada
PS002,2026-01-01 09:00:00,1.63,24.59,2.31,AUTO,synthetic_scada
PS002,2026-01-01 09:15:00,1.75,27.84,3.02,AUTO,synthetic_scada
PS002,2026-01-01 09:30:00,1.45,26.37,2.71,AUTO,synthetic_scada
PS002,2026-01-01 09:45:00,1.27,27.34,2.32,AUTO,synthetic_scada
PS002,2026-01-01 10:00:00,1.38,26.38,2.72,AUTO,synthetic_scada
PS002,2026-01-01 10:15:00,1.36,34.73,2.81,AUTO,synthetic_scada
PS002,2026-01-01 10:30:00,1.53,40.92,1.93,AUTO,synthetic_scada
PS002,2026-01-01 10:45:00,1.46,28.3,3.1,AUTO,synthetic_scada
PS002,2026-01-01 11:00:00,1.59,29.77,2.56,AUTO,synthetic_scada
PS002,2026-01-01 11:15:00,1.33,43.02,2.46,AUTO,synthetic_scada
PS002,2026-01-01 11:30:00,1.5,28.35,2.42,AUTO,synthetic_scada
PS002,2026-01-01 11:45:00,1.74,29.27,2.77,AUTO,synthetic_scada
PS002,2026-01-01 12:00:00,1.47,31.07,2.38,AUTO,synthetic_scada
PS002,2026-01-01 12:15:00,1.42,24.75,2.4,AUTO,synthetic_scada
PS002,2026-01-01 12:30:00,1.54,38.3,2.83,AUTO,synthetic_scada
PS002,2026-01-01 12:45:00,1.76,30.62,2.52,AUTO,synthetic_scada
PS002,2026-01-01 13:00:00,1.65,25.76,2.69,AUTO,synthetic_scada
PS002,2026-01-01 13:15:00,1.4,20.1,3.11,AUTO,synthetic_scada
PS002,2026-01-01 13:30:00,1.45,27.87,2.98,AUTO,synthetic_scada
PS002,2026-01-01 13:45:00,0.98,37.09,2.66,AUTO,synthetic_scada
PS002,2026-01-01 14:00:00,1.57,41.92,2.4,AUTO,synthetic_scada
PS002,2026-01-01 14:15:00,1.68,37.37,2.96,AUTO,synthetic_scada
PS002,2026-01-01 14:30:00,1.27,34.61,2.48,AUTO,synthetic_scada
PS002,2026-01-01 14:45:00,1.83,26.51,2.54,AUTO,synthetic_scada
PS002,2026-01-01 15:00:00,1.23,38.09,2.56,AUTO,synthetic_scada
PS002,2026-01-01 15:15:00,1.31,29.96,2.08,AUTO,synthetic_scada
PS002,2026-01-01 15:30:00,1.52,36.33,2.64,AUTO,synthetic_scada
PS002,2026-01-01 15:45:00,1.38,37.46,2.31,AUTO,synthetic_scada
PS002,2026-01-01 16:00:00,1.41,21.34,2.27,AUTO,synthetic_scada
PS002,2026-01-01 16:15:00,1.48,29.03,2.77,AUTO,synthetic_scada
PS002,2026-01-01 16:30:00,1.34,36.38,2.18,AUTO,synthetic_scada
PS002,2026-01-01 16:45:00,1.39,34.44,2.16,AUTO,synthetic_scada
PS002,2026-01-01 17:00:00,1.24,29.54,2.56,AUTO,synthetic_scada
PS002,2026-01-01 17:15:00,1.2,36.67,2.17,AUTO,synthetic_scada
PS002,2026-01-01 17:30:00,1.46,22.69,2.53,AUTO,synthetic_scada
PS002,2026-01-01 17:45:00,1.11,31.71,2.2,AUTO,synthetic_scada
PS002,2026-01-01 18:00:00,1.47,38.96,2.55,AUTO,synthetic_scada
PS002,2026-01-01 18:15:00,1.38,24.36,2.63,AUTO,synthetic_scada
PS002,2026-01-01 18:30:00,1.26,38.45,3.08,AUTO,synthetic_scada
PS002,2026-01-01 18:45:00,1.52,32.36,2.6,AUTO,synthetic_scada
PS002,2026-01-01 19:00:00,1.3,32.05,2.78,AUTO,synthetic_scada
PS002,2026-01-01 19:15:00,1.43,31.77,2.61,AUTO,synthetic_scada
PS002,2026-01-01 19:30:00,1.56,28.06,3.0,AUTO,synthetic_scada
PS002,2026-01-01 19:45:00,1.2,26.61,2.69,AUTO,synthetic_scada
PS002,2026-01-01 20:00:00,1.26,39.16,2.84,AUTO,synthetic_scada
PS002,2026-01-01 20:15:00,1.31,26.39,2.34,AUTO,synthetic_scada
PS002,2026-01-01 20:30:00,1.45,33.54,2.58,AUTO,synthetic_scada
PS002,2026-01-01 20:45:00,1.38,32.21,2.78,AUTO,synthetic_scada
PS002,2026-01-01 21:00:00,1.43,33.13,3.17,AUTO,synthetic_scada
PS002,2026-01-01 21:15:00,1.64,31.12,2.02,AUTO,synthetic_scada
PS002,2026-01-01 21:30:00,1.55,33.58,2.41,AUTO,synthetic_scada
PS002,2026-01-01 21:45:00,1.33,30.9,2.94,AUTO,synthetic_scada
PS002,2026-01-01 22:00:00,1.28,32.32,2.84,AUTO,synthetic_scada
PS002,2026-01-01 22:15:00,1.33,22.48,2.44,AUTO,synthetic_scada
PS002,2026-01-01 22:30:00,1.33,36.79,2.84,AUTO,synthetic_scada
PS002,2026-01-01 22:45:00,1.39,37.14,2.2,AUTO,synthetic_scada
PS002,2026-01-01 23:00:00,1.68,28.25,2.1,AUTO,synthetic_scada
PS002,2026-01-01 23:15:00,1.38,24.53,2.84,AUTO,synthetic_scada
PS002,2026-01-01 23:30:00,1.44,27.6,2.58,AUTO,synthetic_scada
PS002,2026-01-01 23:45:00,1.62,33.82,2.19,AUTO,synthetic_scada
PS003,2026-01-01 00:00:00,1.45,30.87,3.42,AUTO,synthetic_scada
PS003,2026-01-01 00:15:00,1.8,28.41,2.96,AUTO,synthetic_scada
PS003,2026-01-01 00:30:00,1.66,33.61,2.44,AUTO,synthetic_scada
PS003,2026-01-01 00:45:00,1.45,33.86,2.41,AUTO,synthetic_scada
PS003,2026-01-01 01:00:00,1.43,29.85,3.31,AUTO,synthetic_scada
PS003,2026-01-01 01:15:00,1.32,33.6,2.5,AUTO,synthetic_scada
PS003,2026-01-01 01:30:00,1.34,24.49,2.37,AUTO,synthetic_scada
PS003,2026-01-01 01:45:00,1.47,26.44,2.6,AUTO,synthetic_scada
PS003,2026-01-01 02:00:00,1.49,35.48,2.86,AUTO,synthetic_scada
PS003,2026-01-01 02:15:00,1.29,24.67,2.54,AUTO,synthetic_scada
PS003,2026-01-01 02:30:00,1.61,24.48,2.64,AUTO,synthetic_scada
PS003,2026-01-01 02:45:00,1.58,26.09,2.84,AUTO,synthetic_scada
PS003,2026-01-01 03:00:00,2.19,43.17,2.59,ON,synthetic_scada
PS003,2026-01-01 03:15:00,2.57,30.62,1.73,ON,synthetic_scada
PS003,2026-01-01 03:30:00,2.4,39.35,2.9,ON,synthetic_scada
PS003,2026-01-01 03:45:00,1.59,31.43,3.12,AUTO,synthetic_scada
PS003,2026-01-01 04:00:00,1.39,46.86,2.67,AUTO,synthetic_scada
PS003,2026-01-01 04:15:00,1.64,23.91,2.3,AUTO,synthetic_scada
PS003,2026-01-01 04:30:00,1.42,37.54,2.3,AUTO,synthetic_scada
PS003,2026-01-01 04:45:00,1.22,34.09,2.52,AUTO,synthetic_scada
PS003,2026-01-01 05:00:00,1.41,44.2,2.98,AUTO,synthetic_scada
PS003,2026-01-01 05:15:00,1.63,39.98,2.96,AUTO,synthetic_scada
PS003,2026-01-01 05:30:00,1.5,21.28,2.87,AUTO,synthetic_scada
PS003,2026-01-01 05:45:00,1.62,32.77,3.02,AUTO,synthetic_scada
PS003,2026-01-01 06:00:00,1.19,25.87,2.92,AUTO,synthetic_scada
PS003,2026-01-01 06:15:00,1.42,28.41,2.14,AUTO,synthetic_scada
PS003,2026-01-01 06:30:00,1.38,33.16,2.53,AUTO,synthetic_scada
PS003,2026-01-01 06:45:00,1.67,39.23,2.31,AUTO,synthetic_scada
PS003,2026-01-01 07:00:00,1.18,42.95,2.3,AUTO,synthetic_scada
PS003,2026-01-01 07:15:00,1.24,37.0,2.33,AUTO,synthetic_scada
PS003,2026-01-01 07:30:00,1.32,25.21,3.19,AUTO,synthetic_scada
PS003,2026-01-01 07:45:00,1.49,29.67,1.87,AUTO,synthetic_scada
PS003,2026-01-01 08:00:00,1.15,43.55,2.29,AUTO,synthetic_scada
PS003,2026-01-01 08:15:00,1.59,20.78,2.63,AUTO,synthetic_scada
PS003,2026-01-01 08:30:00,1.8,23.75,2.89,AUTO,synthetic_scada
PS003,2026-01-01 08:45:00,1.46,26.21,2.89,AUTO,synthetic_scada
PS003,2026-01-01 09:00:00,1.55,44.7,2.44,AUTO,synthetic_scada
PS003,2026-01-01 09:15:00,1.47,12.83,2.85,AUTO,synthetic_scada
PS003,2026-01-01 09:30:00,1.26,28.88,3.02,AUTO,synthetic_scada
PS003,2026-01-01 09:45:00,1.14,38.96,2.72,AUTO,synthetic_scada
PS003,2026-01-01 10:00:00,1.51,23.95,3.04,AUTO,synthetic_scada
PS003,2026-01-01 10:15:00,1.31,25.75,3.08,AUTO,synthetic_scada
PS003,2026-01-01 10:30:00,1.36,38.99,2.4,AUTO,synthetic_scada
PS003,2026-01-01 10:45:00,1.63,23.73,2.41,AUTO,synthetic_scada
PS003,2026-01-01 11:00:00,1.31,28.51,2.47,AUTO,synthetic_scada
PS003,2026-01-01 11:15:00,1.58,43.14,2.32,AUTO,synthetic_scada
PS003,2026-01-01 11:30:00,1.18,31.39,2.5,AUTO,synthetic_scada
PS003,2026-01-01 11:45:00,1.6,27.99,2.49,AUTO,synthetic_scada
PS003,2026-01-01 12:00:00,1.54,30.21,2.8,AUTO,synthetic_scada
PS003,2026-01-01 12:15:00,1.26,37.81,2.17,AUTO,synthetic_scada
PS003,2026-01-01 12:30:00,1.4,27.04,2.86,AUTO,synthetic_scada
PS003,2026-01-01 12:45:00,1.2,30.56,3.1,AUTO,synthetic_scada
PS003,2026-01-01 13:00:00,1.04,37.0,1.98,AUTO,synthetic_scada
PS003,2026-01-01 13:15:00,1.27,31.6,2.81,AUTO,synthetic_scada
PS003,2026-01-01 13:30:00,1.33,37.22,3.4,AUTO,synthetic_scada
PS003,2026-01-01 13:45:00,1.45,31.88,2.83,AUTO,synthetic_scada
PS003,2026-01-01 14:00:00,1.21,37.42,2.74,AUTO,synthetic_scada
PS003,2026-01-01 14:15:00,1.66,26.8,2.83,AUTO,synthetic_scada
PS003,2026-01-01 14:30:00,1.44,31.65,2.74,AUTO,synthetic_scada
PS003,2026-01-01 14:45:00,1.44,30.66,2.65,AUTO,synthetic_scada
PS003,2026-01-01 15:00:00,1.38,35.79,2.71,AUTO,synthetic_scada
PS003,2026-01-01 15:15:00,1.25,31.3,3.23,AUTO,synthetic_scada
PS003,2026-01-01 15:30:00,1.31,19.42,2.54,AUTO,synthetic_scada
PS003,2026-01-01 15:45:00,1.45,37.0,2.76,AUTO,synthetic_scada
PS003,2026-01-01 16:00:00,1.32,34.88,2.46,AUTO,synthetic_scada
PS003,2026-01-01 16:15:00,1.39,27.7,2.76,AUTO,synthetic_scada
PS003,2026-01-01 16:30:00,1.49,33.39,2.81,AUTO,synthetic_scada
PS003,2026-01-01 16:45:00,1.22,29.26,2.66,AUTO,synthetic_scada
PS003,2026-01-01 17:00:00,1.22,33.34,2.64,AUTO,synthetic_scada
PS003,2026-01-01 17:15:00,1.32,29.75,2.41,AUTO,synthetic_scada
PS003,2026-01-01 17:30:00,1.35,36.58,2.34,AUTO,synthetic_scada
PS003,2026-01-01 17:45:00,1.26,20.36,2.69,AUTO,synthetic_scada
PS003,2026-01-01 18:00:00,1.2,25.5,2.75,AUTO,synthetic_scada
PS003,2026-01-01 18:15:00,1.42,30.03,2.43,AUTO,synthetic_scada
PS003,2026-01-01 18:30:00,1.33,26.19,3.01,AUTO,synthetic_scada
PS003,2026-01-01 18:45:00,1.17,37.68,2.38,AUTO,synthetic_scada
PS003,2026-01-01 19:00:00,1.34,27.46,2.82,AUTO,synthetic_scada
PS003,2026-01-01 19:15:00,1.37,33.69,2.58,AUTO,synthetic_scada
PS003,2026-01-01 19:30:00,1.23,36.4,2.0,AUTO,synthetic_scada
PS003,2026-01-01 19:45:00,1.38,41.51,2.29,AUTO,synthetic_scada
PS003,2026-01-01 20:00:00,1.24,25.76,2.7,AUTO,synthetic_scada
PS003,2026-01-01 20:15:00,1.35,34.62,2.83,AUTO,synthetic_scada
PS003,2026-01-01 20:30:00,1.35,44.11,2.86,AUTO,synthetic_scada
PS003,2026-01-01 20:45:00,1.43,36.05,2.81,AUTO,synthetic_scada
PS003,2026-01-01 21:00:00,1.39,31.08,2.4,AUTO,synthetic_scada
PS003,2026-01-01 21:15:00,1.27,30.45,2.38,AUTO,synthetic_scada
PS003,2026-01-01 21:30:00,1.29,34.05,2.43,AUTO,synthetic_scada
PS003,2026-01-01 21:45:00,1.64,37.72,2.94,AUTO,synthetic_scada
PS003,2026-01-01 22:00:00,1.13,33.62,2.91,AUTO,synthetic_scada
PS003,2026-01-01 22:15:00,1.45,32.86,2.81,AUTO,synthetic_scada
PS003,2026-01-01 22:30:00,1.3,32.35,2.41,AUTO,synthetic_scada
PS003,2026-01-01 22:45:00,1.38,24.71,2.86,AUTO,synthetic_scada
PS003,2026-01-01 23:00:00,1.43,24.45,2.46,AUTO,synthetic_scada
PS003,2026-01-01 23:15:00,1.42,34.21,2.52,AUTO,synthetic_scada
PS003,2026-01-01 23:30:00,1.63,33.93,2.46,AUTO,synthetic_scada
PS003,2026-01-01 23:45:00,1.32,34.97,2.4,AUTO,synthetic_scada
SR001,2026-01-01 00:00:00,1.53,28.69,2.91,AUTO,synthetic_scada
SR001,2026-01-01 00:15:00,1.5,40.25,2.33,AUTO,synthetic_scada
SR001,2026-01-01 00:30:00,1.27,32.1,2.41,AUTO,synthetic_scada
SR001,2026-01-01 00:45:00,1.2,27.05,2.71,AUTO,synthetic_scada
SR001,2026-01-01 01:00:00,1.24,35.8,1.87,AUTO,synthetic_scada
SR001,2026-01-01 01:15:00,1.5,32.31,2.89,AUTO,synthetic_scada
SR001,2026-01-01 01:30:00,1.25,41.01,2.7,AUTO,synthetic_scada
SR001,2026-01-01 01:45:00,1.31,28.57,2.62,AUTO,synthetic_scada
SR001,2026-01-01 02:00:00,1.29,26.51,2.98,AUTO,synthetic_scada
SR001,2026-01-01 02:15:00,1.52,40.48,2.6,AUTO,synthetic_scada
SR001,2026-01-01 02:30:00,1.61,27.48,2.65,AUTO,synthetic_scada
SR001,2026-01-01 02:45:00,1.81,29.73,2.5,AUTO,synthetic_scada
SR001,2026-01-01 03:00:00,2.19,31.9,2.78,ON,synthetic_scada
SR001,2026-01-01 03:15:00,2.35,26.76,2.32,ON,synthetic_scada
SR001,2026-01-01 03:30:00,2.47,24.57,3.04,ON,synthetic_scada
SR001,2026-01-01 03:45:00,1.61,34.51,2.44,AUTO,synthetic_scada
SR001,2026-01-01 04:00:00,1.79,31.54,2.74,AUTO,synthetic_scada
SR001,2026-01-01 04:15:00,1.01,22.85,2.67,AUTO,synthetic_scada
SR001,2026-01-01 04:30:00,1.36,33.16,2.48,AUTO,synthetic_scada
SR001,2026-01-01 04:45:00,1.24,28.34,2.32,AUTO,synthetic_scada
SR001,2026-01-01 05:00:00,1.58,32.0,2.73,AUTO,synthetic_scada
SR001,2026-01-01 05:15:00,1.17,38.92,2.64,AUTO,synthetic_scada
SR001,2026-01-01 05:30:00,1.65,39.83,2.08,AUTO,synthetic_scada
SR001,2026-01-01 05:45:00,1.29,30.37,2.72,AUTO,synthetic_scada
SR001,2026-01-01 06:00:00,1.04,36.54,2.28,AUTO,synthetic_scada
SR001,2026-01-01 06:15:00,1.32,42.2,2.53,AUTO,synthetic_scada
SR001,2026-01-01 06:30:00,1.37,31.36,2.52,AUTO,synthetic_scada
SR001,2026-01-01 06:45:00,1.5,40.95,2.63,AUTO,synthetic_scada
SR001,2026-01-01 07:00:00,1.51,21.9,2.61,AUTO,synthetic_scada
SR001,2026-01-01 07:15:00,1.13,29.41,2.53,AUTO,synthetic_scada
SR001,2026-01-01 07:30:00,1.44,24.94,2.73,AUTO,synthetic_scada
SR001,2026-01-01 07:45:00,1.53,27.72,2.71,AUTO,synthetic_scada
SR001,2026-01-01 08:00:00,1.47,32.71,2.82,AUTO,synthetic_scada
SR001,2026-01-01 08:15:00,1.55,32.78,2.41,AUTO,synthetic_scada
SR001,2026-01-01 08:30:00,1.34,38.81,2.61,AUTO,synthetic_scada
SR001,2026-01-01 08:45:00,1.57,43.45,2.45,AUTO,synthetic_scada
SR001,2026-01-01 09:00:00,1.27,28.19,2.76,AUTO,synthetic_scada
SR001,2026-01-01 09:15:00,1.47,28.26,2.48,AUTO,synthetic_scada
SR001,2026-01-01 09:30:00,1.48,27.71,2.31,AUTO,synthetic_scada
SR001,2026-01-01 09:45:00,1.49,32.41,2.78,AUTO,synthetic_scada
SR001,2026-01-01 10:00:00,1.66,27.94,2.75,AUTO,synthetic_scada
SR001,2026-01-01 10:15:00,1.41,30.99,2.72,AUTO,synthetic_scada
SR001,2026-01-01 10:30:00,1.18,20.83,2.12,AUTO,synthetic_scada
SR001,2026-01-01 10:45:00,1.39,32.46,2.3,AUTO,synthetic_scada
